         x          y        psi
    2.1625     2.1569     2.1505
    2.1419     2.1364     2.1325
    2.1325     2.1236     2.1116
    2.0934     2.0856     2.0699
    2.0666     2.0602     2.0503
    2.0441     2.0410     2.0410
    2.0214     2.0096     1.9999
    1.9867     1.9797     1.9698
    1.9628     1.9471     1.9392
    1.9392     1.9241     1.9241
    1.9085     1.9007     1.8910
    1.8726     1.8709     1.8662
    1.8620     1.8423     1.8384
    1.8173     1.8127     1.8033
    1.7938     1.7708     1.7528
    1.7528     1.7300     1.7200
    1.7092     1.6980     1.6836
    1.6670     1.6467     1.6296
    1.6178     1.6178     1.6101
    1.6097     1.6094     1.6097
    1.6098     1.6100     1.6103
    1.6102     1.6100     1.6085
    1.6075     1.6064     1.6050
    1.6012     1.6012     1.5990
    1.5949     1.5934     1.5911
    1.5892     1.5865     1.5835
